No matter how hard the past, you can always begin again.|Buddha
There is no connection in the carpenter's triangle|Go principle
Play double sente early|Go principle
Urgent points before big points|Go principle
Play away from thickness|Go principle
Don't use thickness to make territory|Go principle
Make territory while attacking|Go principle
A ponnuki is worth thirty points|Go principle
Make a fist before striking|Go principle
Do not defend territories open on two sides (Don't try to enclose when you have an open skirt)|Go principle
Attach to the stronger stone in a pincer|Go principle
Make a feint to the east while attacking in the west|Go principle
A rich man should not pick quarrels|Go principle
Play kikashi before living|Go principle
Reduction Is Worth As Much As An Invasion|Go principle
Invade a moyo one move before it becomes territory|Go principle
Don't attach when attacking or Don't touch weak stones|Go principle
Make weak walk along with weak, Korean proverb|Go principle
Five groups might live but the sixth will die|Go principle
Big dragons never die|Go principle
Grab the shape points in kikashi|Go principle
Give your opponent what he wants|Go principle
Avoid ippoji|Go principle
Sacrifice plums for peaches and Don't trade a dollar for a penny|Go principle
Don't throw an egg at a wall|Go principle
There are no ko threats in the opening|Go principle
Strengthening your own weak group makes your opponent's weaker|Go principle
Don't go fishing while your house is on fire|Go principle
Never upset your star-point stones|Go principle
Greed for the win takes the win away|Go principle
High move (4th line) for influence, low move (3rd line) for territory|Go principle
If you have lost four corners, resign|Go principle
Don't push from behind.|Go principle
Don't push along the second line (bugcat: I've heard this rendered nicely by Michael Redmond as "the second line is the emergency line" -- though he was discussing a good AlphaGo move on the second line at the time...)|Go principle
Riding the tiger it is difficult to get off or be aware of amarigatachi|Go principle
Don't follow proverbs blindly|Go principle
Proverbs do not apply to White|Go principle
If It Has a Name Know It|Go principle
Use Go to meet friends ("Yi Qi Hui You")|Go principle
Learning Joseki loses two stones strength|Go principle
Black should resign if one player has four corners|Go principle
If you don't know ladders, don't play go|Go principle
You can play Go but don't let Go play you|Go principle
If you don't like Ko don't Play Go|Go principle
Lose Your First 50 Games as Quickly as Possible|Go principle
The Threat Is Stronger Than Its Execution|Go principle
Only after the 10th punch will you see the fist - and only after the 20th will you block it.|Go principle
Kill two birds with one stone|Go principle
You need half the points + 1|Go principle
Never wrestle with a pig - you'll both get dirty, and the pig will love it.|Go principle
A bird in the hand is worth two in the bush|Go principle
Rice eaten in haste chokes.|Go principle
If you want to catch a tiger, you have to go into a tiger's cave.|Go principle
Though the heavens fall, there will be a hole to escape through.|Go principle
Butcher the donkey after it finished his job on the mill.|Go principle
Distant water won't help to put out a fire close at hand.|Go principle
When you want to test the depths of a stream, don't use both feet.|Go principle
You can't win a fight without attacking|Go principle
It's all in the mind|Go principle
Fear stops the anxious|Go principle
If you aim for something, you are turning away from it.|Go principle
Spirit strengthens the hand of the just.|Go principle
The fearful suffer a thousand deaths, the brave only one.|Go principle
Başarısızlık daha akıllca bir başlangıç yapmak için mükemmel bir fırsattır.|Henry Ford
Tercihleriniz umutlarınızı yansıtsın, korkularınızı değil.|Nelson Mandela
Bir gün uyandığında, yapmayı isteyipte yapamadığın şeyler için zaman kalmadığını farkedeceksin.|Paulo Coelho
Yaşlandığımız için oynamayı bırakmayız, oynamayı bıraktığımız için yaşlanırız.|George Bernard Shaw
Bundan yirmi yıl sonra yaptıklarınızdan çok, yapmadıklarınızdan pişman olacaksınız. Bu yüzden, halatlarınızı atın. Güvenli limandan ayrılın. Yelkenlerinizde rüzgarı yakalayın. Gezin. Düşleyin. Keşfedin.|Mark Twain
Hayat, bisiklet sürmek gibidir. Dengenizi korumak için, devam etmelisiniz.|Albert Einstein
Dalgaları durduramazsın ama sörf yapmayı öğrenebilirsin.|Anonim
Gülebildiğiniz her an gülün çünkü bu bedava bir ilaçtır.|Anonim
Tutkusu olmayan bir zeka kanatsız bir kuş gibidir.|Anonim
Başarı hiçbir zaman gelecekteki büyük bir adım olmayacaktır. Başarı şu an atılacak küçük bir adımdır.|Anonim
Önce kendinizi sevin, ardından her şey yoluna girecektir.|Anonim
Life is an adventure, it's not a package tour.|Eckhart Tolle
Realize deeply that the present moment is all you ever have. Make the Now the primary focus of your life.|Eckhart Tolle
When the dog looks at you, the dog is not thinking what kind of a person you are. The dog is not judging you.|Eckhart Tolle
The power for creating a better future is contained in the present moment: You create a good future by creating a good present.|Eckhart Tolle
The primary cause of unhappiness is never the situation but your thoughts about it.|Eckhart Tolle
Life will give you whatever experience is most helpful for the evolution of your consciousness. How do you know this is the experience you need? Because this is the experience you are having at the moment.|Eckhart Tolle
To love is to recognize yourself in another.|Eckhart Tolle
Life isn't as serious as the mind makes it out to be.|Eckhart Tolle
Life is the dancer and you are the dance.|Eckhart Tolle
Anything that you resent and strongly react to in another is also in you.|Eckhart Tolle
You can only lose something that you have, but you cannot lose something that you are.|Eckhart Tolle
I have lived with several Zen masters -- all of them cats.|Eckhart Tolle
[Relationships] do not cause pain and unhappiness. They bring out the pain and unhappiness that is already in you.|Eckhart Tolle
If you cannot be at ease with yourself when you are alone, you will seek a relationship to cover up your unease.|Eckhart Tolle
Whenever you feel superior or inferior to anyone, that’s the ego in you.|Eckhart Tolle
Thinking is a pseudosense of self.|Eckhart Tolle
Kalbinizde yeşil bir ağaç bulundurun, belki şarkı söyleyen bir kuş gelir konar.|Lao Tzu
